,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-06-06,Ａｍａｚｏｎプライム会費,Home,4900.0,PRIME,Insurances,Amazon,202007,Manually confirmed Amazon Transaction
1,2020-06-09,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,3926.0,Bike Toys,Kids,Amazon,202007,Manually confirmed Amazon Transaction
2,2020-06-11,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Vit,741.0,Belt,Personal,Amazon,202007,Manually confirmed Amazon Transaction
3,2020-06-11,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1375.0,Cream,Medical,Amazon,202007,Manually confirmed Amazon Transaction
4,2020-06-24,ＮＴＴ東日本ご利用料金０６月分,Home,3732.0,Internet,Utilities,Amazon,202007,Manually confirmed Amazon Transaction
5,2020-06-29,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Meo,5057.0,Cable Thunderbolt,Personal,Amazon,202007,Manually confirmed Amazon Transaction
6,2020-06-29,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,2882.0,Lamp cream,Household Supplies,Amazon,202007,Manually confirmed Amazon Transaction
7,2020-06-30,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,5999.0,Working table,Furniture,Amazon,202007,Manually confirmed Amazon Transaction
8,2020-06-05,AMZN DIGITAL*MY7VU85P1 (888-802-3080 ),Meo,776.0,Manga,Entertainment,Amazon,202007,Manually confirmed Amazon Transaction
9,2020-06-19,AMZN DIGITAL*MS7BA03A2 (AMZN.COM/BILL),Meo,108.0,Manga,Entertainment,Amazon,202007,Manually confirmed Amazon Transaction
