,date,where,whose,totalPayment,info,category,type,note
0,2021-02-26,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Vit,1450,World 3can4onQ,Personal,Rakuten,Manually confirmed
1,2021-02-26,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Meo,590,Muji,Personal,Rakuten,Manually confirmed
2,2021-02-23,ﾗ-ﾒﾝｶｲﾘｷﾔ ｾﾝﾀ-ﾐﾅ,Home,1793,Ramen Center Minami,Eating Out,Rakuten,Added to Lib
3,2021-02-23,ユニクロジーユーオンライン,Vit,429,Uniqlo Online,Personal,Rakuten,Manually confirmed
4,2021-02-21,ユニクロジーユーオンライン,Vit,1309,Uniqlo Online,Personal,Rakuten,Manually confirmed
5,2021-02-21,ユニクロジーユーオンライン,Vit,429,Uniqlo Online,Personal,Rakuten,Manually confirmed
6,2021-02-20,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Vit,959,Northport mall,Personal,Rakuten,No data but Vit card so set to Vit
7,2021-02-20,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Vit,1300,Muji,Personal,Rakuten,Stocks Vit
8,2021-02-14,SPOTIFY利用国SWE,Meo,980,Spotify,Personal,Rakuten,Manually confirmed but not added to lib
9,2021-02-11,モザイクモール港北,Vit,490,Mosaic Mall,Personal,Rakuten,No data but Vit card so set to Vit
10,2021-02-06,イオンリテール,Home,518,AEON,Household supplies,Rakuten,Not sure but probably household item
11,2021-01-29,イオンリテール,Home,3636,AEON,Kids,Rakuten,Nancy pampers
